('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x0000020172B836A0}
        1    0.000    0.000    0.068    0.068 css_parser.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      402    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
      176    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
      222    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      200    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       51    0.000    0.000    0.000    0.000 functools.py:516(decorating_function)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.145    0.145 element.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2241(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      217    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.010    0.010 ssl.py:1(<module>)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       64    0.000    0.000    0.001    0.000 typing.py:892(__init__)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
